"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"E0139","Unspecified Nervous System Problem","The report describes a non-specific problem with the nervous system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific injury but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E01|E0139","","",""
"E0901","Acoustic Shock","Neurophysiological and psychological symptoms caused by sudden and unexpected loud noise.",,"","","E01|E0901","MedDRA:10068150:Acoustic shock","Ear and Labyrinth","Nervous System"
"E0904","Tinnitus","A noise in the ears, such as ringing, buzzing, roaring or clicking in the absence of auditory stimulation.",,"","","E01|E0904","MedDRA:10043882:Tinnitus","Ear and Labyrinth","Nervous System"
"E1513","Perinatal Brain Injury","Injury to the brain of a newborn infant occurring around the time of birth.",,"","","E01|E1513","MedDRA:10056392:Perinatal brain damage","Pregnancy, Childbirth and the Puerperium","Nervous System"
"E1621","Muscle Weakness","A reduction in the strength of one or more muscles.",,"","","E01|E1621","MedDRA:10028350:Muscle weakness","Musculoskeletal System","Nervous System"
"E02","Mental, Emotional and Behavioural Disorders","Mental, Emotional and Behavioural Disorders",,"Not selectable","Please use more detailed term within the hierarchy","E02","","",""
"E0201","Bruxism","Excessive clenching of the jaw and grinding of the teeth.",,"","","E02|E0201","MedDRA:10006514:Bruxism","",""
"E0202","Emotional Changes","Change from the affected person's usual emotional state.",,"","","E02|E0202","MedDRA:10014551:Emotional disorder","",""
"E020201","Anxiety","Apprehension or uneasiness which may be accompanied by restlessness, tension, tachycardia, and dyspnea.",,"","","E02|E0202|E020201","MedDRA:10002855:Anxiety","",""
"E020202","Depression","A condition marked by ongoing feelings of sadness, despair, loss of energy, diminished interest/pleasure and difficulty dealing with normal daily life.",,"","","E02|E0202|E020202","MedDRA:10012378:Depression","",""
"E020203","Distress","A state of physiological or psychological stress that cannot be compensated for by normal adaptive measures.",,"","","E02|E0202|E020203","MedDRA:10049119:Emotional distress","",""
"E020204","Malaise","A feeling of general discomfort or uneasiness, an out-of-sorts feeling.",,"","","E02|E0202|E020204","MedDRA:10025482:Malaise","",""
"E020205","Irritability","A feeling of agitation. Tending to become frustrated or upset easily.",,"","","E02|E0202|E020205","MedDRA:10022998:Irritability","",""
"E0203","Hallucination","A false sensory perception in the absence of an external stimulus.",,"","","E02|E0203","MedDRA:10019063:Hallucination","",""
"E0204","Lethargy","Characterized by a lack of vitality or energy.",,"","","E02|E0204","MedDRA:10024264:Lethargy","",""
"E0205","Suicidal Ideation","Thoughts of taking one's own life.",,"","","E02|E0205","MedDRA:10042458:Suicidal ideation","",""
"E0206","Unspecified Mental, Emotional or Behavioural Problem","The report describes a non-specific Mental, Emotional or Behavioural problem. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E02|E0206","","",""
"E03","Blood and Lymphatic System","Blood and Lymphatic System",,"Not selectable","Please use more detailed term within the hierarchy","E03","","",""
"E0301","Anemia","A reduction in the number of red blood cells, the amount of hemoglobin, and/or the volume of packed red blood cells.",,"","","E03|E0301","MedDRA:10002272:Anemia","",""
"E030101","Hemolytic Anemia","Anemia resulting from the premature destruction of the peripheral blood red cells.",,"","","E03|E0301|E030101","MedDRA:10019493:Hemolytic anemia","",""
"E0302","Coagulation Disorder","A condition in which there is a deviation from or interruption of the normal coagulation properties of the blood.",,"","","E03|E0302","MedDRA:10009731:Coagulation disorder","",""
"E030201","Disseminated Intravascular Coagulation (DIC)","A pathological process where the blood starts to coagulate throughout the whole body. This depletes the body of its platelets and coagulation factors, and there is an increased risk of hemorrhage.",,"","","E03|E0302|E030201","MedDRA:10013442:Disseminated intravascular coagulation","",""
"E030202","Thrombocytopenia","Low blood platelet count.",,"","","E03|E0302|E030202","MedDRA:10043554:Thrombocytopenia","",""
"E0303","Hemolysis","Disruption of the integrity of the erythrocyte membrane causing release of hemoglobin.",,"","","E03|E0303","MedDRA:10019491:Hemolysis","",""
"E0304","Hypervolemia","An abnormally high circulating blood volume.",,"Modified (technical)","Definition was modified on 21 January 2021 (Old definition: Too much fluid in the blood.). For details, see comment No. 2 of the Change Log.","E03|E0304","MedDRA:10020920:Hypervolemia","",""
"E0305","Hypovolemia","An abnormally low circulating blood volume.",,"","","E03|E0305","MedDRA:10021139:Hypovolemia","",""
"E0306","Sepsis","The presence of pathogenic microorganisms in the blood stream causing a rapidly progressing systemic reaction that may lead to shock. Symptoms include fever, chills, tachycardia, and increased respiratory rate. It is a medical emergency that requires urgent medical attention.",,"","","E03|E0306","MedDRA:10040047:Sepsis","Blood and Lymphatic System","Infections"
"E0307","Seroma","A tumor-like collection of serum in the tissues.",,"","","E03|E0307","MedDRA:10040102:Seroma","",""
"E0308","Swollen Lymph Nodes/Glands","The presence of an enlarged lymph node.",,"","","E03|E0308","MedDRA:10067201:Swollen lymph nodes","",""
"E0309","Low White Blood Cell Count","The white blood cell count is below the normal range",,"New","Term was added on 18 March 2020 as an additional level 2 term for ""Blood and Lymphatic System"".","E03|E0309","MedDRA:10047942:White blood cell count decreased","",""
"E0310","Unspecified Blood or Lymphatic problem","The report describes a non-specific problem with the blood or lymphatic system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E03|E0310","","",""
"E1202","Electrolyte Imbalance","Higher or lower than normal values for the serum electrolytes; usually affecting Na, K, Cl, Ca, CO2, BUN.",,"","","E03|E1202","MedDRA:10014418:Electrolyte imbalance","Endocrine, Metabolism and Nutrition","Blood and Lymphatic System"
"E120201","Hypernatremia","Higher than normal levels of sodium in the circulating blood.",,"","","E03|E1202|E120201","MedDRA:10020680:Hypernatremia","Endocrine, Metabolism and Nutrition","Blood and Lymphatic System"
"E120202","Hyponatremia","Lower than normal levels of sodium in the circulating blood.",,"","","E03|E1202|E120202","MedDRA:10021038:Hyponatremia","Endocrine, Metabolism and Nutrition","Blood and Lymphatic System"
"E04","Immune System","Immune System",,"Not selectable","Please use more detailed term within the hierarchy","E04","","",""
"E0401","Autoimmune Disorder","A disorder resulting from loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents.",,"","","E04|E0401","MedDRA:10061664:Autoimmune disorder","",""
"E0402","Hypersensitivity/Allergic reaction","A local or general reaction of an organism following contact with a specific allergen to which it has been previously exposed and to which it has become sensitized.",,"","","E04|E0402","MedDRA:10020751:Hypersensitivity","",""
"E040201","Anaphylactic Shock","Progression of anaphylaxis into systemic shock, which is characterized by significant reduction in tissue perfusion which leads to hypoxia and hypotension, and can lead to death if untreated.",,"","","E04|E0402|E040201","MedDRA:10002199:Anaphylactic shock","Immune System","Generalized Disorders"
"E040202","Anaphylactoid","Resembling anaphylaxis",,"","","E04|E0402|E040202","MedDRA:10002216:Anaphylactoid reaction","Immune System","Generalized Disorders"
"E040203","Local Reaction","A regionally-limited response to an antigen, which may include inflammation, induration, erythema, pruritus or pain.",,"","","E04|E0402|E040203","MedDRA:10024769:Local reaction","",""
"E0403","Immunodeficiency","A deficiency of immune response or a disorder characterized by deficient immune response.",,"","","E04|E0403","MedDRA:10061598:Immunodeficiency","",""
"E0404","Positive antinuclear antibodies (ANA)","Indicates that antibodies directed against nuclear antigens have been detected. Almost invariably found in systemic lupus erythematosus and are frequently found in rheumatoid arthritis, scleroderma, Sjogren's Syndrome and mixed connective tissue disease.",,"","","E04|E0404","MedDRA:10060055:Antinuclear antibody positive","",""
"E0405","Unspecified Immune System Problem","The report describes a non-specific problem with the immune system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E04|E0405","","",""
"E05","Vascular System","Vascular System",,"Not selectable","Please use more detailed term within the hierarchy","E05","","",""
"E0104","Cerebral Hyperperfusion Syndrome","Unexpected increase in cerebral blood flow after carotid endarterectomy (CEA) or carotid artery stenting (CAS).",,"","","E05|E0104","MedDRA:10064730:Cerebral hyperperfusion syndrome","Nervous System","Vascular System"
"E0501","Aneurysm","Bulging or ballooning in an area of an artery secondary to arterial wall weakening.",,"","","E05|E0501","MedDRA:10002329:Aneurysm","",""
"E050101","Ruptured Aneurysm","An aneurysm that has burst, resulting in hemorrhage into adjacent tissues.",,"","","E05|E0501|E050101","MedDRA:10048380:Aneurysm ruptured","",""
"E0502","Arteriosclerosis/ Atherosclerosis","A vascular disorder characterized by thickening and hardening of the walls of the arteries. Build-up of fatty material and calcium deposition in the arterial wall resulting in partial or complete occlusion of the arterial lumen.",,"","","E05|E0502","MedDRA:10003210:Arteriosclerosis","",""
"E0503","Embolism/Embolus","The blockage of a blood vessel lumen by air or solid material such as blood clot or other tissues (e.g., adipose tissue, cancer cells) that have migrated from another anatomic site.",,"","","E05|E0503","MedDRA:10061169:Embolism","",""
"E050301","Air Embolism","The presence of bubbles of air in the vascular system; occurrence is related to the entry of air into the venous circulation following trauma or surgery.",,"","","E05|E0503|E050301","MedDRA:10001526:Air embolism","",""
"E050302","Foreign Body Embolism","Type of embolism when lumen of vessel or ductus is occluded by part of device.",,"","","E05|E0503|E050302","MedDRA:10075247:Foreign body embolism","",""
"E050303","Pulmonary Embolism","The obstruction of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung.",,"","","E05|E0503|E050303","MedDRA:10037377:Pulmonary embolism","Vascular System","Respiratory System"
"E050304","Thromboembolism","Occlusion of the lumen of a vessel by a thrombus that has migrated from a distal site via the blood stream.",,"","","E05|E0503|E050304","MedDRA:10043566:Thromboembolism","",""
"E0504","Extravasation","The leakage of body fluid or cells from the vascular system to the surrounding tissues. This process occurs either by force or as a result of a pathologic reaction (e.g., inflammation).",,"","","E05|E0504","MedDRA:10015866:Extravasation","",""
"E0505","Hematoma","A localized collection of blood, usually clotted, in an organ, space, or tissue, due to a break in the wall of a blood vessel.",,"","","E05|E0505","MedDRA:10019428:Hematoma","",""
"E0506","Hemorrhage/Bleeding","The loss of blood from a ruptured blood vessel.",,"","","E05|E0506","MedDRA:10019524:Hemorrhage","",""
"E050601","Ecchymosis","A flat discoloration of the skin or a mucous membrane, larger in area than a petechia, caused by the extravasation of blood. Discolouration under the skin caused by a bleed underneath. Typically a bruise.",,"","","E05|E0506|E050601","MedDRA:10014080:Ecchymosis","",""
"E050602","Exsanguination","Extensive loss of blood due to internal or external hemorrhage.",,"","","E05|E0506|E050602","MedDRA:10015719:Exsanguination","",""
"E0507","High Pulmonary Arterial Wedge Pressure","The measurement of the mean left atrial pressure, as measured by a catheter introduced into the distal pulmonary artery, is high.",,"","","E05|E0507","MedDRA:10037328:Pulmonary arterial wedge pressure high","Vascular System","Investigations and Diagnostic Tests"
"E0508","Low Pulmonary Arterial Wedge Pressure","The measurement of the mean left atrial pressure, as measured by a catheter introduced into the distal pulmonary artery, is low.",,"Modified (editorial)","Definition was modified on 21 January 2021 (Old definition: The measurement of the mean left pulmonary atrial pressure, as measured by a catheter introduced into the distal pulmonary artery, is low.). For details, see comment No. 3 of the Change Log.","E05|E0508","MedDRA:10037330:Pulmonary arterial wedge pressure low","Vascular System","Investigations and Diagnostic Tests"
"E0509","Ischemia","Lack of oxygen in tissues, commonly due to impaired blood supply to an area of the body, resulting in impairment of tissue oxygenation.",,"","","E05|E0509","MedDRA:10054438:Ischemia","",""
"E0510","Neovascularization","The formation of new blood vessels.",,"","","E05|E0510","MedDRA:10029114:Neovascularization","",""
"E0511","Perforation of Vessels","Damage to a blood vessel resulting from a full thickness disruption in the integrity of the vessel wall.",,"","","E05|E0511","MedDRA:10068149:Vessel perforation","Vascular System","Procedural Complications"
"E051101","Great Vessel Perforation","Damage to the venae cavae, pulmonary artery, pulmonary veins or aorta resulting from a full thickness disruption in the integrity of the vessel wall.",,"","","E05|E0511|E051101","MedDRA:10080896:Perforation of great vessels","Vascular System","Procedural Complications"
"E0512","Phlebitis","Inflammation of a vein.",,"","","E05|E0512","MedDRA:10034879:Phlebitis","",""
"E0513","Pseudoaneurysm","The creation of hematoma outside the arterial wall following bleeding due to puncture of the arterial wall. Pseudoaneurysms can also occur in the heart chambers following myocardial infarction with rupture of the wall of the ventricle.",,"","","E05|E0513","MedDRA:10048977:Pseudoaneurysm","",""
"E0514","Thrombosis/Thrombus","The formation of a blood clot in the lumen of a vessel or heart chamber.",,"","","E05|E0514","MedDRA:10043607:Thrombosis","",""
"E0515","Vascular Dissection","Spontaneous or induced tear within the wall of a blood vessel.",,"","","E05|E0515","MedDRA:10070693:Vascular dissection","",""
"E0516","Vasoconstriction","Vasoconstriction involves narrowing of a blood vessel lumen due to smooth muscle contraction in the vessel wall and leads to decreased blood flow.",,"","","E05|E0516","MedDRA:10047139:Vasoconstriction","",""
"E0517","Vasodilatation","Widening of a blood vessel lumen due to smooth muscle relaxation in the vessel wall and leads to increased blood flow.",,"","","E05|E0517","MedDRA:10047141:Vasodilatation","",""
"E0518","Unspecified Vascular Problem","The report describes a non-specific problem with the vascular system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E05|E0518","","",""
"E0607","Cardiovascular Insufficiency","Circulatory insufficiency due to a decrease in the force of the cardiac contractions and / or the tone of the vascular walls",,"","","E05|E0607","MedDRA:10065929:Cardiovascular insufficiency","Heart","Vascular System"
"E0707","Bronchial Hemorrhage","Bleeding from the bronchial wall and/or lung parenchyma.",,"","","E05|E0707","MedDRA:10065757:Bronchial hemorrhage","Respiratory System","Vascular System"
"E06","Heart","Heart",,"Not selectable","Please use more detailed term within the hierarchy","E06","","",""
"E0601","Arrhythmia","Any variation from the normal rate or rhythm (which may include the origin of the impulse and/or its subsequent propagation) in the heart.",,"","","E06|E0601","MedDRA:10003119:Arrhythmia","",""
"E060101","Asystole","An electrocardiographic finding showing a state of cardiac standstill with no cardiac output and no ventricular depolarization.",,"","","E06|E0601|E060101","MedDRA:10003586:Asystole","",""
"E060102","Atrial Fibrillation","Irregular heart rhythm, usually associated with a rapid rate, that is caused by abnormal electrical activity within the atrial.",,"","","E06|E0601|E060102","MedDRA:10003658:Atrial fibrillation","",""
"E060103","Atrial Flutter","A rapid heart rate, associated with a regular rhythm, that is caused by abnormal electrical activity within the atria.",,"","","E06|E0601|E060103","MedDRA:10003662:Atrial flutter","",""
"E060104","Bradycardia","An abnormally slow heart rate. Thresholds for different age, gender, and patient populations exist.",,"","","E06|E0601|E060104","MedDRA:10006093:Bradycardia","",""
"E060105","Ectopic Heartbeat","A cardiac beat originating from an abnormal site. These changes lead to extra or dropped heartbeats.",,"","","E06|E0601|E060105","MedDRA:10014159:Ectopic heartbeats","",""
"E060106","Heart Block","An interference with the normal conduction of electrical impulses that control activity of the heart muscle.",,"","","E06|E0601|E060106","MedDRA:10019252:Heart block","",""
"E060107","Idioventricular Rhythm","An electrocardiographic finding of three or more consecutive complexes of ventricular origin. The QRS complexes are wide and have an abnormal morphology. (CDISC)",,"","","E06|E0601|E060107","MedDRA:10039111:Rhythm idioventricular","",""
"E060108","Irregular Pulse","A pulse that beats at irregular intervals.",,"","","E06|E0601|E060108","MedDRA:10022994:Irregular pulse","",""
"E060109","Tachycardia","Abnormally high heart rate. Thresholds for different age, gender, and patient populations exist.",,"","","E06|E0601|E060109","MedDRA:10043071:Tachycardia","",""
"E060110","Ventricular Fibrillation","Arrhythmia characterized by chaotic contractions of the ventricular muscle.",,"","","E06|E0601|E060110","MedDRA:10047290:Ventricular fibrillation","",""
"E0602","Cardiac Arrest","The sudden cessation of productive cardiac activity in an individual who becomes unresponsive, without normal breathing and no signs of circulation.",,"","","E06|E0602","MedDRA:10007515:Cardiac arrest","",""
"E0603","Cardiac Enzyme Elevation","Increase from the normal levels of cardiac enzymes.",,"","","E06|E0603","MedDRA:10007548:Cardiac enzymes increased","Heart","Investigations and Diagnostic Tests"
"E0604","Cardiac Perforation","The presence of an acquired hole in the heart.",,"","","E06|E0604","MedDRA:10058039:Cardiac perforation","Heart","Procedural Complications"
"E0605","Cardiac Tamponade","Acute compression of the heart caused by increased intrapericardial pressure due to the accumulation of blood or fluid in the pericardium from rupture of the heart or great vessels, penetrating trauma, or progressive effusion.",,"","","E06|E0605","MedDRA:10007610:Cardiac tamponade","",""
"E0606","Cardiomyopathy","A disease of the heart muscle.",,"","","E06|E0606","MedDRA:10007636:Cardiomyopathy","",""
"E0607","Cardiovascular Insufficiency","Circulatory insufficiency due to a decrease in the force of the cardiac contractions and / or the tone of the vascular walls",,"","","E06|E0607","MedDRA:10065929:Cardiovascular insufficiency","Heart","Vascular System"
"E0608","Cusp Tear","A tear located on a leaflet of a heart valve that prevents its complete closing, which can result in valvular dysfunction.",,"","","E06|E0608","MedDRA:10068167:Cusp tear","",""
"E0609","Diminished Pulse Pressure","Weak or absent palpable pulse due to decreased arterial pulse pressure.",,"","","E06|E0609","MedDRA:10037480:Pulse pressure decreased","",""
"E0610","Endocarditis","Inflammation of the endocardium.",,"","","E06|E0610","MedDRA:10014665:Endocarditis","Heart","Infections"
"E0611","Heart Failure/Congestive Heart Failure","Inability of the heart to pump blood adequately to fill tissue metabolic requirements or the ability to do so only at an elevated filling pressure.",,"","","E06|E0611","MedDRA:10019279:Heart failure","",""
"E0612","Ischemic Heart Disease","A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries, to obstruction by a thrombus, or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (myocardial infarction).",,"","","E06|E0612","MedDRA:10055218:Ischemic heart disease","",""
"E061201","Angina","Chest pain resulting from inadequate oxygen delivery for the needs of the myocardium.",,"","","E06|E0612|E061201","MedDRA:10002383:Angina pectoris","",""
"E061202","Myocardial Infarction","A condition which occurs when blood flow decreases or stops to a part of the heart, causing damage to the heart muscle.",,"","","E06|E0612|E061202","MedDRA:10028596:Myocardial infarction","",""
"E0613","Low Cardiac Output","A below normal volume of blood pumped from the right or left ventricle of the heart per unit time.",,"","","E06|E0613","MedDRA:10007595:Cardiac output decreased","",""
"E0614","Mitral Perforation","A rupture in the mitral valve tissue due to traumatic or pathologic processes.",,"","","E06|E0614","MedDRA:10068138:Mitral perforation","Heart","Procedural Complications"
"E0615","Myocardial Contusion","A bruise to the heart.",,"","","E06|E0615","MedDRA:10068147:Myocardial contusion","Heart","Procedural Complications"
"E0616","Myocardial Hypertrophy","Thickening of the myocardium often due to chronic pressure overload.",,"","","E06|E0616","MedDRA:10072733:Myocardial hypertrophy","",""
"E0617","Myocarditis","Inflammation of the muscle tissue of the heart.",,"","","E06|E0617","MedDRA:10028606:Myocarditis","",""
"E0618","Non specific EKG/ECG Changes","An electrocardiographic finding of a change in cardiac electrical activity.",,"","","E06|E0618","MedDRA:10061116:Electrocardiogram change","",""
"E0619","Pericardial Effusion","Fluid collection within the pericardial sac, usually due to inflammation.",,"","","E06|E0619","MedDRA:10061116:Electrocardiogram change","",""
"E0620","Pericarditis","Inflammation of the pericardium.",,"","","E06|E0620","MedDRA:10034484:Pericarditis","",""
"E0621","Valvular Insufficiency/ Regurgitation","Dysfunction of one of the cardiac valves, with incomplete valve closure or damage to a valve leaflet resulting in valvular backflow.",,"","","E06|E0621","MedDRA:10058086:Heart valve insufficiency","",""
"E062101","Aortic Valve Insufficiency/ Regurgitation","Incomplete closure or damage to a valve leaflet of the aortic valve, resulting in aortic valve backflow.",,"","","E06|E0621|E062101","MedDRA:10052839:Aortic valve insufficiency","",""
"E062102","Mitral Valve Insufficiency/ Regurgitation","Incomplete closure or damage to a valve leaflet of the mitral valve, resulting in mitral valve backflow.",,"","","E06|E0621|E062102","MedDRA:10074862:Mitral valve insufficiency","",""
"E062103","Pulmonary Valve Insufficiency/ Regurgitation","Incomplete closure or damage to a valve leaflet of the pulmonary valve, resulting in pulmonary valve backflow.",,"","","E06|E0621|E062103","MedDRA:10052842:Pulmonary valve insufficiency","",""
"E062104","Tricuspid Valve Insufficiency/ Regurgitation","Incomplete closure or damage to a valve leaflet of the tricuspid valve, resulting in tricuspid valve backflow.",,"","","E06|E0621|E062104","MedDRA:10044635:Tricuspid insufficiency","",""
"E0622","Valvular Stenosis","Obstruction of flow across a heart valve due to immobility of the leaflets and/or a restricted orifice.",,"","","E06|E0622","MedDRA:10061996:Heart valve stenosis","",""
"E062201","Aortic Valve Stenosis","Obstruction of flow across a aortic heart valve due to immobility reduced elasticity of the leaflets and/or a restricted orifice.",,"","","E06|E0622|E062201","MedDRA:10002918:Aortic valve stenosis","",""
"E062202","Mitral Valve Stenosis","Obstruction of flow across a mitral heart valve due to immobility reduced elasticity of the leaflets and/or a restricted orifice.",,"","","E06|E0622|E062202","MedDRA:10027733:Mitral valve stenosis","",""
"E062203","Pulmonary Valve Stenosis","Obstruction of flow across a pulmonary heart valve due to immobility reduced elasticity of the leaflets and/or a restricted orifice.",,"","","E06|E0622|E062203","MedDRA:10037450:Pulmonary valve stenosis","",""
"E062204","Tricuspid Valve Stenosis","Obstruction of flow across a tricuspid heart valve due to immobility reduced elasticity of the leaflets and/or a restricted orifice.",,"","","E06|E0622|E062204","MedDRA:10044642:Tricuspid valve stenosis","",""
"E0623","Unspecified Heart Problem","The report describes a non-specific problem with the heart. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E06|E0623","","",""
"E1507","Fetal Distress","Signs or symptoms which may be indicative of distress to a fetus, which may include repetitive variable decelerations, fetal tachycardia or bradycardia, late decelerations, or low biophysical profile.",,"","","E06|E1507","MedDRA:10016486:Fetal distress","Pregnancy, Childbirth and the Puerperium","Heart"
"E07","Respiratory System","Respiratory System",,"Not selectable","Please use more detailed term within the hierarchy","E07","","",""
"E050303","Pulmonary Embolism","The obstruction of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung.",,"","","E07|E050303","MedDRA:10037377:Pulmonary embolism","Vascular System","Respiratory System"
"E0701","Adult Respiratory Distress Syndrome","Progressive and life-threatening pulmonary distress in the absence of an underlying pulmonary condition, usually following major trauma or surgery. Cases of neonatal respiratory distress syndrome are not included in this definition.",,"","","E07|E0701","MedDRA:10001409:Adult respiratory distress syndrome","",""
"E0702","Airway Obstruction","Blockage of air flow in the respiratory tract.",,"","","E07|E0702","MedDRA:10001539:Airways obstruction","",""
"E0703","Apnea","Transient cessation of respiration.",,"","","E07|E0703","MedDRA:10002972:Apnea","",""
"E0704","Aspiration/Inhalation","The entry of foreign material past the trachea, and into the lower respiratory tract.",,"","","E07|E0704","MedDRA:10003504:Aspiration","",""
"E0705","Aspiration Pneumonitis","Inflammation of the lungs due to the inhalation of solid or liquid material.",,"","","E07|E0705","MedDRA:10003526:Aspiration pneumonitis","",""
"E0706","Asthma","A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.",,"","","E07|E0706","MedDRA:10003553:Asthma","",""
"E0707","Bronchial Hemorrhage","Bleeding from the bronchial wall and/or lung parenchyma.",,"","","E07|E0707","MedDRA:10065757:Bronchial hemorrhage","Respiratory System","Vascular System"
"E0708","Bronchitis","An acute or chronic inflammatory process affecting the bronchi.",,"","","E07|E0708","MedDRA:10006451:Bronchitis","",""
"E0709","Bronchospasm","Sudden contraction of the smooth muscles of the bronchial wall.",,"","","E07|E0709","MedDRA:10006482:Bronchospasm","",""
"E0710","Choking","Interference with respiration by obstruction of the larynx or trachea.",,"Modified (editorial)","Editorial change to the definition on 16 February 2021.","E07|E0710","MedDRA:10008589:Choking","Respiratory System","Injury"
"E0711","Chronic Obstructive Pulmonary Disease (COPD)","A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.",,"","","E07|E0711","MedDRA:10009033:Chronic obstructive pulmonary disease","",""
"E071101","Pulmonary Emphysema","A condition characterized by increase beyond normal in the size of air spaces distal to the terminal bronchioles, either from dilatation of the alveoli or from destruction of their walls.",,"","","E07|E0711|E071101","MedDRA:10014563:Emphysema pulmonary","",""
"E0712","Cough","A sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs, and usually accompanied by a distinctive sound.",,"","","E07|E0712","MedDRA:10011224:Cough","",""
"E0713","Decreased Peak Expiratory Flow rate","Decrease in the maximum flow rate generated during a forceful exhalation, starting from full lung inflation.",,"","","E07|E0713","MedDRA:10034195:Peak expiratory flow rate decreased","Respiratory System","Investigations and Diagnostic Tests"
"E0714","Increased Peak Expiratory Flow rate","An increase of the greatest rate of flow that can be achieved during forced expiration beginning with the lungs fully inflated.",,"","","E07|E0714","MedDRA:10034196:Peak expiratory flow rate increased","Respiratory System","Investigations and Diagnostic Tests"
"E0715","Decreased Respiratory Rate","Abnormal decrease of rate of breathing.",,"","","E07|E0715","MedDRA:10038710:Respiratory rate decreased","Respiratory System","Investigations and Diagnostic Tests"
"E0716","Increased Respiratory Rate","Abnormal increase of rate of breathing.",,"","","E07|E0716","MedDRA:10038712:Respiratory rate increased","Respiratory System","Investigations and Diagnostic Tests"
"E0717","Dyspnea","An uncomfortable sensation of difficulty breathing. It may present as an acute or chronic sign of an underlying respiratory or heart disorder.",,"","","E07|E0717","MedDRA:10013963:Dyspnea","",""
"E0718","Epistaxis","Nose bleed.",,"","","E07|E0718","MedDRA:10015090:Epistaxis","",""
"E0719","Forced Expiratory Volume Decreased","A decrease in the fraction of the forced vital capacity that is exhaled in a specific number of seconds.",,"","","E07|E0719","MedDRA:10016987:Forced expiratory volume decreased","Respiratory System","Investigations and Diagnostic Tests"
"E0720","Forced Expiratory Volume Increased","An increase in the fraction of the forced vital capacity that is exhaled in a specific number of seconds.",,"","","E07|E0720","MedDRA:10016989:Forced expiratory volume increased","Respiratory System","Investigations and Diagnostic Tests"
"E0721","Hemoptysis","Coughing up blood from the respiratory tract.",,"","","E07|E0721","MedDRA:10019523:Hemoptysis","",""
"E0722","Hemothorax","A collection of blood in the pleural cavity.",,"","","E07|E0722","MedDRA:10019614:Hemothorax","",""
"E0723","Hiccups","An involuntary contraction of the diaphragm against closed vocal cords, producing the hic sound.",,"","","E07|E0723","MedDRA:10020039:Hiccups","",""
"E0724","Hyperventilation","Abnormally prolonged, rapid, and deep breathing.",,"","","E07|E0724","MedDRA:10020910:Hyperventilation","",""
"E0725","Hypoventilation","A state in which there is a reduced amount of air entering the pulmonary alveoli.",,"","","E07|E0725","MedDRA:10021133:Hypoventilation","",""
"E0726","Hypoxia","A deficiency in the amount of oxygen reaching the tissues.",,"","","E07|E0726","MedDRA:10021143:Hypoxia","",""
"E0727","Mediastinal Shift","Displacement of structures in the thoracic cavity in one direction due to increased pleural pressure on the contralateral side.",,"","","E07|E0727","MedDRA:10066239:Mediastinal shift","",""
"E0728","Nasal Obstruction","Blockage of the nasal passages.",,"","","E07|E0728","MedDRA:10028748:Nasal obstruction","",""
"E0729","Overinflation of Lung","Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung.",,"","","E07|E0729","MedDRA:10059487:Lung hyperinflation","",""
"E0730","Pharyngitis","Inflammation of the throat most often caused by viral and bacterial infections.",,"","","E07|E0730","MedDRA:10034835:Pharyngitis","",""
